StreetName,Suburb,LATITUDE,LONGITUDE
Commercial Road,Melbourne,-37.84534226,144.9813587
Kurneh Place,South Yarra,-37.83388215,144.9845415
Little Park Street,South Yarra,-37.83653242,144.9813645
Normanby Road,,-37.82776364,144.9511004
Little Park Street,South Yarra,-37.83657388,144.9816719
Commercial Road,Melbourne,-37.84579377,144.9848344
Slater Street,Melbourne,-37.83885455,144.9779786
Armadale Street,Melbourne,-37.84099526,144.9785218
Kurneh Place,South Yarra,-37.83384471,144.9846715
Moubray Street,Melbourne,-37.84838423,144.9843917
Commercial Road,South Yarra,-37.84551814,144.9848689
Adams Street,South Yarra,-37.83566591,144.9773898
Bromby Street,Melbourne,-37.83508743,144.9784666
Arnold Street,Melbourne,-37.83638251,144.9762613
Hope Street,South Yarra,-37.8351322,144.979705
Day Street,South Yarra,-37.83467266,144.98043
Bromby Street,South Yarra,-37.83497911,144.9761468
St Kilda Road,Melbourne,-37.84793783,144.980166
Hope Street,South Yarra,-37.83655024,144.9792699
Domain Street,Melbourne,-37.83377102,144.9787735
Hope Street,South Yarra,-37.83557961,144.9793249
Domain Street,South Yarra,-37.83574945,144.9783522
Pasley Street South,South Yarra,-37.84280583,144.9845928
Park Lane,South Yarra,-37.84450862,144.9842323
St Kilda Road,Melbourne,-37.83767587,144.9764242
Pasley Street,South Yarra,-37.84173727,144.9847792
Pasley Street North,South Yarra,-37.84144813,144.9848666
St Kilda Road,Melbourne,-37.83460784,144.9749315
Park Place,South Yarra,-37.83977136,144.9852993
Pasley Street,South Yarra,-37.84248198,144.9843959
Pasley Street,South Yarra,-37.84241455,144.9844094
Adams Street,South Yarra,-37.83562283,144.9773988
Adams Street,South Yarra,-37.83557976,144.9774078
Adams Street,South Yarra,-37.8355059,144.9774226
Adams Street,South Yarra,-37.8354588,144.9774322
Adams Street,South Yarra,-37.8354117,144.9774418
Adams Street,South Yarra,-37.83536461,144.9774514
Adams Street,South Yarra,-37.83531751,144.977461
Adams Street,South Yarra,-37.83527041,144.9774705
Adams Street,South Yarra,-37.83522332,144.9774801
Adams Street,South Yarra,-37.83517622,144.9774897
Adams Street,South Yarra,-37.83623496,144.9775041
Adams Street,South Yarra,-37.83619479,144.9775123
