bay_id,DeviceID,Description1
1741,18721,1/4P M-SUN 7:30-18:30
6248,17421,2P 7.30 - 22.00
6249,17424,2P 7.30 - 22.00
6250,17426,2P 7.30 - 22.00
6251,17428,2P 7.30 - 22.00
5405,20906,2P MTR M-SAT 7:30-18:30
2567,18549,2P MTR M-SAT 7:30-20:30
2093,19260,P/5 M-SAT 7:30-19:30 - No Park
622,18457,2P MTR M-SAT 7:30-20:30
567,18475,1P MTR M-SAT 7:30-18:30
568,18476,2P MTR M-F 7:30-16:00
569,18477,1P MTR M-SAT 7:30-18:30
570,18478,1P MTR M-SAT 7:30-18:30
6158,23550,1P M-SUN 7:30-23:00
571,18479,2P MTR M-F 7:30-16:00
574,18481,2P MTR M-F 7:30-16:00
575,18482,2P MTR M-F 7:30-16:00
576,18483,2P MTR M-F 7:30-16:00
577,18484,2P MTR M-F 7:30-16:00
581,18487,2P MTR M-F 7:30-16:00
6160,17251,1P M-SUN 7:30-23:00
598,18435,1P MTR M-SAT 7:30-18:30
600,18437,1P MTR M-SAT 7:30-18:30
602,18438,1P MTR M-SAT 7:30-18:30
603,18439,1P MTR M-SAT 7:30-18:30
604,18440,2P MTR M-SAT 7:30-20:30
605,18441,2P MTR M-SAT 7:30-20:30
606,18442,2P MTR M-SAT 7:30-20:30
607,18443,2P MTR M-SAT 7:30-20:30
609,18445,2P MTR M-SAT 7:30-20:30
610,18446,LZ 15M M-SUN 7:30-19:30
611,18447,2P MTR M-SAT 7:30-20:30
612,18448,2P MTR M-SAT 7:30-20:30
614,18449,2P MTR M-SAT 7:30-20:30
615,18450,2P MTR M-SAT 7:30-20:30
617,18452,2P MTR M-SAT 7:30-20:30
618,18453,2P MTR M-SAT 7:30-20:30
619,18454,2P MTR M-SAT 7:30-20:30
620,18455,2P MTR M-SAT 7:30-20:30
621,18456,2P MTR M-SAT 7:30-20:30
623,18458,1P MTR M-SAT 7:30-18:30
624,18459,2P MTR M-F 7:30-16:00
625,18460,1P MTR M-SAT 7:30-18:30
626,18461,1P MTR M-SAT 7:30-18:30
627,18462,2P MTR M-F 7:30-16:00
628,18463,1P MTR M-SAT 7:30-18:30
629,18464,1P MTR M-SAT 7:30-18:30
631,18467,2P MTR M-F 7:30-16:00
632,18468,1P MTR M-SAT 7:30-18:30
633,18469,1P MTR M-SAT 7:30-18:30
634,18470,2P MTR M-F 7:30-16:00
635,18471,1P MTR M-SAT 7:30-18:30
636,18472,1P MTR M-SAT 7:30-18:30
637,18473,2P MTR M-F 7:30-16:00
639,18488,3P MTR M-SAT 7:30-20:30
640,18489,3P MTR M-SAT 7:30-20:30
641,18490,3P MTR M-SAT 7:30-20:30
642,18491,3P MTR M-SAT 7:30-20:30
643,18492,3P MTR M-SAT 7:30-20:30
645,18494,3P MTR M-SAT 7:30-20:30
646,18495,3P MTR M-SAT 7:30-20:30
647,18496,3P MTR M-SAT 7:30-20:30
649,18497,3P MTR M-SAT 7:30-20:30
651,18500,3P MTR M-SAT 7:30-20:30
2062,19229,2P MTR M-SAT 7:30-20:30
653,18504,3P MTR M-SAT 7:30-20:30
654,18506,3P MTR M-SAT 7:30-20:30
655,18508,3P MTR M-SAT 7:30-20:30
656,18509,3P MTR M-SAT 7:30-20:30
657,18510,3P MTR M-SAT 7:30-20:30
658,18511,3P MTR M-SAT 7:30-20:30
659,18512,3P MTR M-SAT 7:30-20:30
660,18513,3P MTR M-SAT 7:30-20:30
661,18514,3P MTR M-SAT 7:30-20:30
662,18515,3P MTR M-SAT 7:30-20:30
663,18516,3P MTR M-SAT 7:30-20:30
670,16022,2P DIS M-SUN 0:00-23:59
671,11958,2P DIS M-SUN 0:00-23:59
672,10413,2P DIS M-SUN 0:00-23:59
675,18262,1P MTR M-F 9:30-18:30
676,18263,1P MTR M-F 9:30-18:30
677,18264,1P MTR M-F 9:30-18:30
678,18265,1P MTR M-F 9:30-18:30
679,18266,1P MTR M-F 9:30-18:30
680,18267,1P MTR M-F 9:30-18:30
687,18274,1P MTR M-SAT 7:30-18:30
688,18275,1P MTR M-SAT 7:30-18:30
689,18276,4P DIS 7.30-8.30
690,18277,4P DIS 7.30-8.30
768,18352,2P MTR M-SAT 7:30-20:30
696,18283,1P TKTA M-F 9.30-6.30PM
697,18284,1P TKTA M-F 9.30-6.30PM
698,18285,1P TKTA M-F 9.30-6.30PM
699,18286,1P TKTA M-F 9.30-6.30PM
701,18288,1P TKTA M-F 9.30-6.30PM
710,18295,2P MTR M-F 9:30-20:30
712,18296,2P MTR M-F 9:30-20:30
713,18297,2P MTR M-F 7.30am - 4.30pm
714,18298,2P MTR M-F 7.30am - 4.30pm
715,18299,2P MTR M-F 9:30-20:30
716,18300,2P MTR M-F 7.30am - 4.30pm
722,18305,2P Meter M-F 7.30 TO 4.30
723,18345,2P MTR M-SAT 7.30 -16.30
725,18309,2P MTR M-SAT 7:30-20:30
729,18313,2P MTR M-F 9.30 - 16.30
730,18314,2P MTR M-F 9.30 - 16.30
731,18315,2P MTR M-F 9.30 - 16.30
732,18316,2P MTR M-F 9.30 - 16.30
2043,19220,2P MTR M-SAT 19:30-20:30
733,18317,2P MTR M-F 9.30 - 16.30
734,18318,2P MTR M-F 9.30 - 16.30
737,18321,2P MTR M-F 9.30 - 16.30
739,18323,2P MTR M-F 9.30 - 16.30
740,18324,2P MTR M-F 9.30 - 16.30
741,18325,2P MTR M-SAT 7:30-20:30
742,18326,2P MTR M-SAT 7:30-20:30
743,18327,2P MTR M-SAT 7:30-20:30
744,18328,2P MTR M-SAT 7:30-20:30
745,18329,2P MTR M-SAT 7:30-20:30
746,18330,2P MTR M-SAT 7:30-20:30
747,18331,2P MTR M-SAT 7:30-20:30
748,18332,2P MTR M-SAT 7:30-20:30
749,18333,2P MTR M-SAT 7:30-20:30
750,18334,2P MTR M-SAT 7:30-20:30
751,18335,2P MTR M-SAT 7:30-20:30
752,18336,2P MTR M-SAT 7:30-20:30
753,18337,2P MTR M-SAT 7:30-20:30
754,18338,2P MTR M-SAT 7:30-20:30
755,18339,2P MTR M-SAT 7:30-20:30
756,18340,2P MTR M-SAT 7:30-20:30
757,18341,2P MTR M-SAT 7:30-20:30
758,18342,2P MTR M-SAT 7:30-20:30
759,18343,2P MTR M-SAT 7:30-20:30
760,18344,2P MTR M-SAT 7:30-20:30
763,18347,2P MTR M-SAT 7:30-20:30
764,18348,2P MTR M-SAT 7:30-20:30
765,18349,2P MTR M-SAT 7:30-20:30
767,18351,2P MTR M-SAT 7:30-20:30
769,18353,2P MTR M-SAT 7:30-20:30
770,18354,2P MTR M-SAT 7:30-20:30
771,18355,2P MTR M-SAT 7:30-20:30
772,18356,2P MTR M-SAT 7:30-20:30
773,18357,2P MTR M-SAT 7:30-20:30
774,18358,2P MTR M-SAT 7:30-20:30
775,18359,2P MTR M-SAT 7:30-20:30
776,18360,2P MTR M-SAT 7:30-20:30
790,18370,1P MTR M-SAT 7:30-19:30
791,18371,1P MTR M-SAT 7:30-19:30
792,18372,1P MTR M-SAT 7:30-19:30
807,18384,2P MTR M-SAT 7:30-20:30
810,18387,2P MTR M-SAT 7:30-20:30
811,18388,2P MTR M-SAT 7:30-20:30
812,18389,2P MTR M-SAT 7:30-20:30
813,18390,2P MTR M-SAT 7:30-20:30
814,18391,2P MTR M-SAT 7:30-20:30
815,18392,2P MTR M-SAT 7:30-20:30
822,18397,2P MTR M-SAT 7:30-20:30
823,18398,2P MTR M-SAT 7:30-20:30
824,18399,2P MTR M-SAT 7:30-20:30
825,18400,2P MTR M-SAT 7:30-20:30
826,18401,2P MTR M-SAT 7:30-20:30
827,18402,2P MTR M-SAT 7:30-20:30
828,18403,2P MTR M-SAT 7:30-20:30
829,18404,2P MTR M-SAT 7:30-20:30
830,18405,2P MTR M-SAT 7:30-20:30
831,18406,2P MTR M-SAT 7:30-20:30
833,18408,2P MTR M-SAT 7:30-20:30
834,18409,2P MTR M-SAT 7:30-20:30
835,18410,2P MTR M-SAT 7:30-20:30
836,18411,2P MTR M-SAT 7:30-20:30
841,18413,2P MTR M-SAT 7:30-20:30
842,18414,2P MTR M-SAT 7:30-20:30
843,18415,2P MTR M-SAT 7:30-20:30
844,22292,2P MTR M-SAT 7:30-20:30
845,18417,2P MTR M-SAT 7:30-20:30
846,18418,2P MTR M-SAT 7:30-20:30
847,18419,2P MTR M-SAT 7:30-20:30
848,18420,2P MTR M-SAT 7:30-20:30
849,18421,2P MTR M-SAT 7:30-20:30
857,18183,1/2P MTR M-SAT 7:30-19:30
858,18184,1/2P MTR M-SAT 7:30-19:30
862,18186,1P MTR M-SAT 7:30-19:30
864,18346,1P MTR M-SAT 7:30-19:30
865,18188,1P MTR M-SAT 7:30-19:30
866,18189,1P MTR M-SAT 7:30-19:30
867,18190,1P MTR M-SAT 7:30-19:30
868,18775,2P DIS 7.30 - 8.30PM
869,18776,2P DIS 7.30 - 8.30PM
870,18777,1P MTR M-SAT 7:30-18:30
874,18192,2P DIS M-SUN 0:00-23:59
909,18216,1P MTR M-SAT 7:30-19:30
910,18217,1P MTR M-SAT 7:30-19:30
911,18218,1P MTR M-SAT 7:30-19:30
912,18219,1P MTR M-SAT 7:30-19:30
913,18220,1P MTR M-SAT 7:30-19:30
914,18221,1P MTR M-SAT 7:30-19:30
915,18222,1P MTR M-SAT 7:30-19:30
916,18223,1P MTR M-SAT 7:30-19:30
917,18224,1P MTR M-SAT 7:30-19:30
918,18225,1P MTR M-SAT 7:30-19:30
919,18226,1P MTR M-SAT 7:30-19:30
920,18227,1P MTR M-SAT 7:30-19:30
921,18228,1P MTR M-SAT 7:30-19:30
2063,19230,2P MTR M-SAT 7:30-20:30
939,18786,1P MTR M-SAT 7:30-19:30
1005,18165,1/2P M-SAT 7:30-19:30
1018,18008,1/2P MTR M-F 7:30-16:30
1019,18009,1/2P MTR M-F 7:30-16:30
1032,18020,1P MTR M-SAT 7:30-18:30
1033,18021,1P MTR M-SAT 7:30-18:30
1034,18022,1P MTR M-SAT 7:30-18:30
1035,18023,1P MTR M-SAT 7:30-18:30
1036,18024,1P MTR M-SAT 7:30-18:30
1038,18026,1P MTR M-SAT 7:30-18:30
1039,22272,1P MTR M-SAT 7:30-18:30
1042,18030,1P MTR M-SAT 7:30-18:30
1043,18031,1P MTR M-SAT 7:30-18:30
1044,18032,1P MTR M-SAT 7:30-18:30
1045,18033,1P MTR M-SAT 7:30-18:30
1046,18034,1P MTR M-SAT 7:30-18:30
1047,18035,1P MTR M-SAT 7:30-18:30
1048,18036,1P MTR M-SAT 7:30-18:30
1049,18037,LZ 15M M-F 7:30-19:30
1053,18041,1P MTR M-SAT 7:30-18:30
1087,18062,1P MTR M-SAT 7:30-19:30
1054,18042,1P MTR M-SAT 7:30-18:30
1055,18043,1P MTR M-SAT 7:30-18:30
1056,18044,1P MTR M-SAT 7:30-18:30
1057,18045,1P MTR M-F 7:30-16:30
1058,18046,1P MTR M-F 7:30-16:30
1069,18057,1P MTR M-SAT 7:30-19:30
1071,18059,1P MTR M-SAT 7:30-19:30
1072,18060,1P MTR M-SAT 7:30-19:30
1077,9945,1P MTR M-SAT 7:30-19:30
1078,12557,1P MTR M-SAT 7:30-19:30
1079,15238,1P MTR M-SAT 7:30-19:30
1080,14272,1P MTR M-SAT 7:30-19:30
1081,14698,1P MTR M-SAT 7:30-19:30
1082,11275,1P MTR M-SAT 7:30-19:30
1083,14699,1P MTR M-SAT 7:30-19:30
1084,13147,1P MTR M-SAT 7:30-19:30
1085,10465,1P MTR M-SAT 7:30-19:30
1088,18063,1P MTR M-SAT 7:30-19:30
