StreetName,Suburb,LATITUDE,LONGITUDE
A'BECKETT STREET,Melbourne,-37.80891473,144.9616942
ALBERT STREET,East Melbourne,-37.80923117,144.9740409
ANTHONY STREET,Melbourne,-37.80879674,144.9588386
AUGUSTA AVENUE,Docklands,-37.81577566,144.9376345
AQUITANIA WAY,Docklands,-37.81359262,144.9420381
AURORA LANE,Docklands,-37.81907113,144.9501456
BALSTON STREET,Southbank,-37.82600346,144.9623797
BATMAN STREET,West Melbourne,-37.81051848,144.9527991
BATMANS HILL DRIVE,Docklands,-37.82151864,144.9491454
BOND STREET,Melbourne,-37.81816453,144.9627005
BOURKE STREET,Melbourne,-37.81479332,144.9647097
BRENTANI WAY,Docklands,-37.82124036,144.9508815
CAPEL STREET,North Melbourne,-37.80302243,144.9555959
CARAVEL LANE,Docklands,-37.81441839,144.9409189
CATHEDRAL PLACE,East Melbourne,-37.81080258,144.9775096
CHETWYND STREET,West Melbourne,-37.80701338,144.9517602
CHURCH STREET,Melbourne,-37.81613631,144.9571894
CITY ROAD,Southbank,-37.82701792,144.9590733
CLARENDON STREET,Southbank,-37.82845111,144.9582922
COBDEN STREET,North Melbourne,-37.80564451,144.9572923
COLLINS STREET,Docklands,-37.82134218,144.9455754
COVENTRY STREET,Southbank,-37.82990786,144.9664185
CUMBERLAND STREET,Docklands,-37.81987116,144.9427884
CURZON STREET,North Melbourne,-37.799115,144.9486363
DEVENEY STREET,Kensington,-37.78924714,144.9278116
DOCKLANDS DRIVE,Docklands,-37.81448947,144.9380455
DODDS STREET,Southbank,-37.82392025,144.9686924
DOEPEL WAY,Docklands,-37.81485559,144.9400424
DORCAS STREET,South Melbourne,-37.83036238,144.9702044
DRYBURGH STREET,West Melbourne,-37.80639538,144.9427105
DUDLEY STREET,West Melbourne,-37.80987856,144.951059
EADES PLACE,West Melbourne,-37.80658728,144.9514008
ELIZABETH STREET,Melbourne,-37.80717521,144.9600956
ENTERPRIZE WAY,Docklands,-37.81923543,144.9442829
ERROL STREET,North Melbourne,-37.80221019,144.9496016
EXHIBITION STREET,Melbourne,-37.80740021,144.9682423
FARADAY STREET,Carlton,-37.79862663,144.9655737
FAWKNER STREET,Southbank,-37.82407189,144.9632447
FISHPLATE LANE,Docklands,-37.819579,144.949115
FLINDERS LANE,Melbourne,-37.81985678,144.955136
FLINDERS STREET,Melbourne,-37.81869482,144.962686
FRANCIS STREET,Melbourne,-37.8180848,144.9553901
FRANKLIN STREET,Melbourne,-37.80838289,144.9591844
GEOGRAPHE STREET,Docklands,-37.82052644,144.9454088
GISBORNE STREET,East Melbourne,-37.81057719,144.9752487
GRANT STREET,Southbank,-37.82493677,144.970446
HARBOUR ESPLANADE,Docklands,-37.82228504,144.947553
HOWARD STREET,North Melbourne,-37.80544686,144.9535441
IMPORT LANE,Docklands,-37.82034051,144.9446025
JEFFCOTT STREET,West Melbourne,-37.81206979,144.9507165
KARLSRUHE LANE,Docklands,-37.82132102,144.9455419
KAVANAGH STREET,Southbank,-37.82341431,144.964837
KING STREET,Melbourne,-37.82002553,144.9572143
LA TROBE STREET,Melbourne,-37.80938923,144.9640469
LANSDOWNE STREET,East Melbourne,-37.80912118,144.9782645
LEVEN AVENUE,Docklands,-37.81547972,144.9377445
LEVESON STREET,North Melbourne,-37.80061517,144.9519408
LONSDALE STREET,Melbourne,-37.81483683,144.9528827
Lt BOURKE STREET,Melbourne,-37.81345003,144.9619219
Lt COLLINS STREET,Melbourne,-37.81558059,144.9626432
Lt DOCKLANDS DRIVE,Docklands,-37.81296319,144.9393823
Lt DRYBURGH STREET SOUTH,North Melbourne,-37.80371453,144.9438245
Lt LA TROBE STREET,Melbourne,-37.80916786,144.962987
Lt LONSDALE STREET,Melbourne,-37.81075383,144.963503
MACKENZIE STREET,Melbourne,-37.80757618,144.9662737
MARKET STREET,Melbourne,-37.81904407,144.9611546
MARMION PLACE,Docklands,-37.81356807,144.9428404
MCCRAE STREET,Docklands,-37.82265148,144.9481903
MERCHANT STREET,Docklands,-37.82015263,144.943763
MILES STREET,Southbank,-37.82858274,144.9667629
NAVIGATION DRIVE,Docklands,-37.82060654,144.9460812
NICHOLSON STREET,Carlton,-37.79764267,144.9747625
O'CONNELL STREET,North Melbourne,-37.80458634,144.9576313
PARLIAMENT PLACE,East Melbourne,-37.81157373,144.9753388
PEARL RIVER ROAD,Docklands,-37.8125605,144.9364613
PEEL STREET,Melbourne,-37.80732578,144.957737
PELHAM STREET,Carlton,-37.8027139,144.9643144
PRINCESS STREET,North Melbourne,-37.8049365,144.9569774
QUEEN STREET,Melbourne,-37.81778544,144.9621622
QUEENSBERRY STREET,Melbourne,-37.80426087,144.9592485
RAKAIA WAY,Docklands,-37.81476681,144.9410946
ROSSLYN STREET,West Melbourne,-37.81007135,144.9474207
ROYAL PARADE,Parkville,-37.7981914,144.9564367
RUSSELL STREET,Melbourne,-37.81152077,144.9673278
SAINT MANGOS LANE,Docklands,-37.81335073,144.9409939
SAINT MANGOS LANE NORTH,Docklands,-37.81335073,144.9409939
SEAFARER LANE,Docklands,-37.82189618,144.9435077
SOUTHBANK BOULEVARD,Southbank,-37.82322998,144.967138
SPENCER STREET,Docklands,-37.81394668,144.9516109
SPRING STREET,Melbourne,-37.81409724,144.9741185
